round,pooled_kappa,overall_acc,UE_kappa,UE_TP,UE_FP,UE_FN,UE_TN,codebook_word_count,n_changes,n_signal_cases
0,0.5474,0.9248,0.5272,32,2,42,261,113,0,0
1,0.5811,0.9293,0.6471,46,9,28,254,82,2,202
2,0.5963,0.9248,0.7713,56,7,18,256,77,1,202
3,0.6559,0.9382,0.8018,59,7,15,256,64,1,202
4,0.5881,0.9268,0.6656,49,11,25,252,73,1,202
5,0.5251,0.9154,0.5960,41,8,33,255,84,2,202
