round,pooled_kappa,overall_acc,UE_kappa,UE_TP,UE_FP,UE_FN,UE_TN,codebook_word_count,n_changes,n_signal_cases
0,0.3783,0.8917,0.1266,8,5,66,258,0,0,0
1,0.4342,0.8927,0.3983,26,8,48,255,59,6,202
2,0.4081,0.8937,0.2287,13,3,61,260,83,1,202
3,0.4832,0.9016,0.5338,36,8,38,255,83,1,202
4,0.4450,0.9016,0.4617,30,7,44,256,88,2,202
5,0.5621,0.9224,0.6080,42,8,32,255,121,1,202
