round,pooled_kappa,overall_acc,UE_kappa,UE_TP,UE_FP,UE_FN,UE_TN,codebook_word_count,n_changes,n_signal_cases
0,0.5772,0.9298,0.5515,35,4,39,259,113,0,0
1,0.5400,0.9179,0.6276,43,7,31,256,125,1,202
2,0.5963,0.9248,0.7043,49,6,25,257,98,1,202
3,0.6476,0.9327,0.8297,61,6,13,257,96,2,202
4,0.5142,0.9105,0.6276,43,7,31,256,82,1,202
5,0.4810,0.9036,0.6114,41,6,33,257,9,1,202
