round,pooled_kappa,overall_acc,UE_kappa,UE_TP,UE_FP,UE_FN,UE_TN,codebook_word_count,n_changes,n_signal_cases
0,0.3914,0.8952,0.2698,15,2,59,261,0,0,0
1,0.5681,0.9169,0.7977,57,5,17,258,71,1,202
2,0.5319,0.9105,0.7610,55,7,19,256,94,1,202
3,0.5516,0.9115,0.7426,54,8,20,255,63,1,202
4,0.4802,0.9006,0.5868,39,6,35,257,95,1,202
5,0.4122,0.8917,0.4904,31,5,43,258,87,1,202
