round,pooled_kappa,overall_acc,UE_kappa,UE_TP,UE_FP,UE_FN,UE_TN,codebook_word_count,n_changes,n_signal_cases
0,0.5732,0.9303,0.6235,42,6,32,257,113,0,0
1,0.5283,0.9135,0.5715,39,8,35,255,65,2,202
2,0.5322,0.9174,0.6472,44,6,30,257,105,1,202
3,0.4804,0.9041,0.3544,23,8,51,255,97,1,202
4,0.4985,0.9115,0.5317,37,10,37,253,90,1,202
5,0.6533,0.9357,0.8379,66,11,8,252,87,1,202
