round,pooled_kappa,overall_acc,UE_kappa,UE_TP,UE_FP,UE_FN,UE_TN,codebook_word_count,n_changes,n_signal_cases
0,0.5891,0.9318,0.6149,40,4,34,259,113,0,0
1,0.5142,0.9105,0.6211,47,14,27,249,81,2,164
2,0.6258,0.9342,0.7027,51,9,23,254,108,1,151
3,0.5891,0.9228,0.7303,58,15,16,248,75,1,164
4,0.5844,0.9263,0.6898,47,5,27,258,59,1,149
5,0.5263,0.9135,0.6245,46,12,28,251,74,1,155
