round,pooled_kappa,overall_acc,UE_kappa,UE_TP,UE_FP,UE_FN,UE_TN,codebook_word_count,n_changes,n_signal_cases
0,0.5632,0.9283,0.6513,43,4,31,259,113,0,0
1,0.5983,0.9313,0.6829,45,3,29,260,158,3,202
2,0.5342,0.9253,0.5884,36,1,38,262,200,1,202
3,0.5264,0.9233,0.5884,36,1,38,262,200,1,202
4,0.5378,0.9268,0.5541,34,2,40,261,200,1,202
5,0.5441,0.9278,0.5884,36,1,38,262,200,1,202
