round,pooled_kappa,overall_acc,UE_kappa,UE_TP,UE_FP,UE_FN,UE_TN,codebook_word_count,n_changes,n_signal_cases
0,0.4206,0.8986,0.2181,12,2,62,261,0,0,0
1,0.5017,0.9105,0.5116,32,4,42,259,41,2,202
2,0.5594,0.9164,0.6979,47,4,27,259,78,2,202
3,0.4429,0.8971,0.5695,37,5,37,258,88,1,202
4,0.5630,0.9159,0.7351,57,13,17,250,90,1,202
5,0.4808,0.9055,0.4889,32,7,42,256,69,1,202
