round,pooled_kappa,overall_acc,UE_kappa,UE_TP,UE_FP,UE_FN,UE_TN,codebook_word_count,n_changes,n_signal_cases
0,0.5693,0.9283,0.5900,38,4,36,259,113,0,0
1,0.4480,0.9055,0.3534,22,6,52,257,80,1,202
2,0.5213,0.9120,0.6548,46,8,28,255,79,1,202
3,0.4768,0.9070,0.4339,28,7,46,256,86,2,202
4,0.5695,0.9243,0.6799,51,12,23,251,106,1,202
5,0.5330,0.9159,0.6205,45,11,29,252,80,2,202
