round,pooled_kappa,overall_acc,UE_kappa,UE_TP,UE_FP,UE_FN,UE_TN,codebook_word_count,n_changes,n_signal_cases
0,0.5430,0.9253,0.5593,35,3,39,260,113,0,0
1,0.4450,0.9016,0.4638,28,3,46,260,87,1,202
2,0.4661,0.9031,0.5492,39,11,35,252,78,1,202
3,0.5114,0.9115,0.6114,41,6,33,257,91,1,202
4,0.4497,0.9016,0.4980,31,4,43,259,76,1,202
5,0.5281,0.9105,0.6545,48,11,26,252,78,1,202
